,Rank,Player,Position,AF    ,R,G,D,M,T,C,K,H,HO,Season,Round
0,1,Lachie Whitfield,DEF,137,3.6,0,33,14,1,1,24,9,0,2024,Opening Round
1,2,Darcy Cameron,RUC,131,16.1,2,20,4,5,2,15,5,30,2024,Opening Round
2,3,Jack Viney,MID,123,25.1,2,30,2,7,7,19,11,0,2024,Opening Round
3,4,Isaac Heeney,MID,121,29.1,1,26,5,7,13,17,9,0,2024,Opening Round
4,5,Brodie Grundy,RUC,118,13.5,0,23,4,6,9,12,11,33,2024,Opening Round
5,6,Josh Kelly,MID,117,14.9,1,32,5,3,2,22,10,0,2024,Opening Round
6,7,Tom Green,MID,116,17.4,1,30,4,6,9,16,14,0,2024,Opening Round
7,8,Matt Rowell,MID,112,19.5,0,33,1,5,20,19,14,0,2024,Opening Round
8,9,Nick Daicos,MID,111,22.4,1,34,3,4,10,19,15,0,2024,Opening Round
9,9,Josh Daicos,MID,111,12,0,28,6,5,3,16,12,0,2024,Opening Round
10,11,Touk Miller,MID,110,9.3,0,28,6,4,2,18,10,0,2024,Opening Round
11,12,Wil Powell,DEF,106,11.9,0,28,9,1,0,20,8,0,2024,Opening Round
12,13,Dayne Zorko,FWD,105,15.6,2,19,7,6,0,12,7,0,2024,Opening Round
13,14,Josh Dunkley,MID,104,14.9,0,21,5,9,2,11,10,0,2024,Opening Round
14,15,Jayden Short,DEF,103,12.6,0,23,7,4,1,20,3,0,2024,Opening Round
15,16,Lachie Ash,DEF,102,18,0,25,7,4,0,14,11,0,2024,Opening Round
16,17,George Hewett,MID,100,11,0,27,4,5,5,15,12,0,2024,Opening Round
17,18,Noah Anderson,MID,99,11.1,0,25,9,1,8,16,9,0,2024,Opening Round
18,18,Nick Blakey,DEF,99,15.6,0,26,9,0,0,18,8,0,2024,Opening Round
19,18,Brayden Maynard,DEF,99,12.8,1,16,9,5,1,15,1,0,2024,Opening Round
20,21,Brayden Fiorini,MID,98,15.7,2,19,8,3,0,12,7,0,2024,Opening Round
21,22,Brent Daniels,FWD,96,11.9,4,22,5,0,1,14,8,0,2024,Opening Round
22,23,Jacob Hopper,MID,95,11.5,2,23,6,2,3,14,9,0,2024,Opening Round
23,23,Christian Salem,MID,95,14.1,0,27,5,3,5,20,7,0,2024,Opening Round
24,25,Jarryd Lyons,MID,94,7.1,0,19,5,9,1,10,9,0,2024,Opening Round
25,26,Nick Haynes,DEF,93,6.4,0,23,9,1,1,16,7,0,2024,Opening Round
26,27,Harry Cunningham,DEF,92,10.1,0,18,10,3,1,14,4,0,2024,Opening Round
27,27,Sam Flanders,MID,92,15.3,0,26,4,3,2,15,11,0,2024,Opening Round
28,29,Stephen Coniglio,MID,91,14.3,0,28,5,2,4,12,16,0,2024,Opening Round
29,29,Matt Roberts,DEF,91,2.8,0,19,8,3,0,16,3,0,2024,Opening Round
30,31,Mitch McGovern,DEF,90,10.5,0,17,8,4,2,14,3,0,2024,Opening Round
31,32,Clayton Oliver,MID,89,16,0,30,2,2,6,18,12,0,2024,Opening Round
32,33,Connor Budarick,DEF,88,8.1,0,21,8,1,0,18,3,0,2024,Opening Round
33,33,Chad Warner,MID,88,19.8,1,26,4,1,2,17,9,0,2024,Opening Round
34,35,Max Gawn,RUC,87,5.5,0,14,1,4,2,8,6,37,2024,Opening Round
35,35,Tom Papley,FWD,87,19,1,20,4,3,3,15,5,0,2024,Opening Round
36,35,Christian Petracca,MID,87,18.6,1,26,1,3,3,11,15,0,2024,Opening Round
37,38,Callum M. Brown,FWD,86,18.9,5,11,7,1,1,8,3,0,2024,Opening Round
38,38,Harry Himmelberg,KEYD,86,12.1,0,24,5,2,3,14,10,0,2024,Opening Round
39,38,Nick Vlastuin,DEF,86,10.3,0,20,9,1,0,18,2,0,2024,Opening Round
40,41,Nic Newman,DEF,83,7.1,0,16,8,3,0,15,1,0,2024,Opening Round
41,42,Oscar McInerney,RUC,82,9.8,0,13,0,6,8,9,4,26,2024,Opening Round
42,42,Harry McKay,KEYF,82,20.7,3,13,7,2,2,9,4,1,2024,Opening Round
43,44,Zac Bailey,FWD,81,17.4,1,15,4,5,4,12,3,0,2024,Opening Round
44,44,Lachie Fogarty,FWD,81,10.5,1,13,2,9,0,5,8,0,2024,Opening Round
45,44,Steven May,KEYD,81,11.1,0,21,5,2,0,14,7,0,2024,Opening Round
46,44,Steele Sidebottom,MID,81,16.4,0,17,6,3,2,14,3,0,2024,Opening Round
47,48,Alex Sexton,DEF,80,6.4,0,21,8,1,1,12,9,0,2024,Opening Round
48,49,Ben King,KEYF,79,13.9,5,10,6,0,0,8,2,0,2024,Opening Round
49,49,Ed Langdon,MID,79,9.1,1,19,4,3,0,10,9,0,2024,Opening Round
50,49,Justin McInerney,FWD,79,7.2,1,20,6,4,1,7,13,1,2024,Opening Round
51,49,Lachie Schultz,FWD,79,2.4,0,16,5,6,0,8,8,0,2024,Opening Round
52,53,Patrick Cripps,MID,78,13.8,1,23,3,2,2,8,15,2,2024,Opening Round
53,53,Patrick Lipinski,FWD,78,4.6,0,26,2,2,1,12,14,0,2024,Opening Round
54,55,Adam Cerra,MID,77,12.8,0,25,1,4,7,11,14,0,2024,Opening Round
55,55,James Rowbottom,MID,77,11.9,0,21,0,7,6,12,9,0,2024,Opening Round
56,55,Jarrod Witts,RUC,77,18.4,0,14,3,2,8,11,3,22,2024,Opening Round
57,58,Callum Ah Chee,MID,76,10.3,1,16,6,3,2,11,5,0,2024,Opening Round
58,58,James Jordon,FWD,76,7.7,0,18,3,7,2,8,10,0,2024,Opening Round
59,60,Noah Balta,KEYF,75,4.7,1,15,5,2,2,10,5,5,2024,Opening Round
60,60,Jack Crisp,DEF,75,15.1,0,18,2,6,3,9,9,0,2024,Opening Round
61,60,Jesse Hogan,KEYF,75,15.1,4,12,7,0,1,9,3,0,2024,Opening Round
62,60,Lachie Neale,MID,75,13.8,0,25,2,2,5,9,16,0,2024,Opening Round
63,60,Malcolm Rosas,FWD,75,4.9,3,13,5,1,0,9,4,0,2024,Opening Round
64,65,Jordan Boyd,DEF,74,9.3,0,16,6,3,0,14,2,0,2024,Opening Round
65,65,Braeden Campbell,MID,74,8.1,0,16,7,2,1,12,4,0,2024,Opening Round
66,65,Blake Howes,DEF,74,13.7,0,17,7,3,0,9,8,0,2024,Opening Round
67,65,Scott Pendlebury,MID,74,11,0,18,8,1,5,10,8,0,2024,Opening Round
68,65,Cam Rayner,FWD,74,10.7,1,15,2,6,5,8,7,0,2024,Opening Round
69,70,Harris Andrews,KEYD,73,14.1,0,15,7,2,0,12,3,0,2024,Opening Round
70,70,Judd McVee,DEF,73,12.3,0,20,6,0,3,14,6,0,2024,Opening Round
71,72,Charlie Curnow,KEYF,72,16.8,4,11,5,0,0,11,0,0,2024,Opening Round
72,72,Lincoln McCarthy,FWD,72,7.2,2,13,6,2,1,10,3,0,2024,Opening Round
73,74,Sam Naismith,RUC,71,11.4,0,11,1,3,7,5,6,25,2024,Opening Round
74,75,Dane Rampe,KEYD,70,12.3,0,19,6,0,0,13,6,0,2024,Opening Round
75,75,Darcy Wilmot,DEF,70,13.8,0,21,3,1,2,17,4,0,2024,Opening Round
76,77,Blake Acres,MID,69,12.2,0,22,6,0,5,12,10,0,2024,Opening Round
77,77,Oliver Florent,DEF,69,12.2,1,18,3,2,3,10,8,0,2024,Opening Round
78,77,Errol Gulden,MID,69,7.8,0,20,2,2,2,16,4,0,2024,Opening Round
79,77,Jack Lukosius,KEYF,69,13.5,3,10,6,1,1,9,1,3,2024,Opening Round
80,77,Zac Williams,DEF,69,7.2,0,19,4,2,1,17,2,0,2024,Opening Round
81,82,Charlie Ballard,KEYD,68,5.2,0,14,9,1,1,12,2,0,2024,Opening Round
82,82,Ryan Lester,KEYD,68,8,0,15,6,2,1,12,3,0,2024,Opening Round
83,82,Hugh McCluggage,MID,68,14.6,1,18,4,2,2,12,6,0,2024,Opening Round
84,82,Alex Neal-Bullen,FWD,68,9.2,0,15,2,6,3,6,9,0,2024,Opening Round
85,86,Kieren Briggs,RUC,65,20.4,0,14,0,3,6,7,7,20,2024,Opening Round
86,86,Will Hoskin-Elliott,DEF,65,0.7,0,14,7,1,0,13,1,0,2024,Opening Round
87,86,Brody Mihocek,KEYF,65,12.8,3,14,3,0,0,8,6,0,2024,Opening Round
88,89,David Cuningham,FWD,64,9.6,1,12,2,5,3,5,7,0,2024,Opening Round
89,89,Tom De Koning,RUC,64,9.3,0,11,2,3,2,5,6,24,2024,Opening Round
90,89,Dion Prestia,FWD,64,12.6,0,18,3,3,5,9,9,0,2024,Opening Round
91,92,Oliver Hollands,MID,63,0.6,0,8,3,8,0,6,2,0,2024,Opening Round
92,92,Tom Sparrow,FWD,63,8.7,0,13,2,9,3,3,10,0,2024,Opening Round
93,94,Jamie Elliott,FWD,62,0.6,0,16,3,3,1,9,7,0,2024,Opening Round
94,94,Marlion Pickett,FWD,62,8.6,1,13,3,3,0,8,5,0,2024,Opening Round
95,96,Seth Campbell,FWD,61,13.4,2,9,2,4,1,7,2,0,2024,Opening Round
96,96,Jordan De Goey,MID,61,4.3,0,21,4,1,7,11,10,0,2024,Opening Round
97,96,Nick Holman,FWD,61,15.3,1,13,4,2,0,8,5,0,2024,Opening Round
98,96,Lewis Young,KEYD,61,9.6,0,15,6,0,1,13,2,0,2024,Opening Round
99,100,Jarrod Berry,DEF,60,2,0,17,5,0,1,11,6,0,2024,Opening Round
100,100,Charlie Cameron,FWD,60,2,2,10,3,3,1,8,2,0,2024,Opening Round
101,100,Will Hayward,FWD,60,9.6,2,10,4,2,0,8,2,0,2024,Opening Round
102,100,David Swallow,DEF,60,2.7,0,16,6,1,0,12,4,0,2024,Opening Round
103,104,Joe Daniher,KEYF,59,7,1,14,5,0,1,11,3,3,2024,Opening Round
104,104,Bayley Fritsch,FWD,59,12.5,4,6,2,3,0,6,0,0,2024,Opening Round
105,104,Adam Saad,DEF,59,9.3,0,15,6,1,0,9,6,0,2024,Opening Round
106,107,Brandon Ellis,MID,58,3.4,0,12,4,3,0,10,2,0,2024,Opening Round
107,107,Isaac Quaynor,DEF,58,10.1,0,15,3,2,1,9,6,0,2024,Opening Round
108,109,Robbie Fox,KEYF,57,4.4,1,9,2,6,1,6,3,0,2024,Opening Round
109,109,Connor Idun,DEF,57,8.6,0,16,5,1,1,8,8,0,2024,Opening Round
110,111,Eric Hipwood,KEYF,56,3.5,1,9,6,1,0,9,0,0,2024,Opening Round
111,111,Jake Lloyd,MID,56,6.5,0,13,5,2,0,8,5,0,2024,Opening Round
112,111,Daniel Rioli,DEF,56,8,0,15,2,2,0,12,3,0,2024,Opening Round
113,111,Tim Taranto,MID,56,3.8,0,15,2,4,4,10,5,0,2024,Opening Round
114,115,Ben Ainsworth,FWD,55,2.8,0,13,6,0,0,9,4,0,2024,Opening Round
115,115,Beau McCreery,FWD,55,6.9,1,9,3,4,0,7,2,0,2024,Opening Round
116,115,Xavier O'Halloran,MID,55,4.6,0,15,4,3,0,10,5,0,2024,Opening Round
117,118,Jake Bowey,DEF,54,3.5,0,14,3,1,0,13,1,0,2024,Opening Round
118,118,Nathan Broad,DEF,54,6,0,9,6,3,0,8,1,0,2024,Opening Round
119,120,Sam Collins,KEYD,53,16.1,0,14,6,1,1,6,8,0,2024,Opening Round
120,120,Trent Rivers,DEF,53,7.3,0,17,4,0,1,10,7,0,2024,Opening Round
121,120,Adam Tomlinson,KEYD,53,11.2,0,12,3,2,0,10,2,0,2024,Opening Round
122,123,Bobby Hill,FWD,52,7.1,2,10,1,3,0,5,5,0,2024,Opening Round
123,124,Sam Banks,MID,50,3.5,0,11,4,3,0,7,4,0,2024,Opening Round
124,125,Matthew Cottrell,FWD,49,6.5,1,14,4,0,0,9,5,0,2024,Opening Round
125,126,Shai Bolton,FWD,48,14.6,3,8,1,1,3,6,2,0,2024,Opening Round
126,126,Sam Docherty,MID,48,-0.5,0,10,5,1,0,9,1,0,2024,Opening Round
127,126,Jake Lever,KEYD,48,5.4,0,12,6,0,0,9,3,0,2024,Opening Round
128,126,Sam Taylor,KEYD,48,9.9,0,15,4,0,0,8,7,0,2024,Opening Round
129,130,Aaron Cadman,KEYF,47,6.9,2,10,3,0,1,5,5,0,2024,Opening Round
130,130,Brodie Kemp,KEYD,47,9.8,0,15,3,1,0,6,9,0,2024,Opening Round
131,130,Matthew Kennedy,FWD,47,4.4,1,10,2,2,2,6,4,1,2024,Opening Round
132,130,Toby McMullin,MID,47,3,0,11,3,2,0,8,3,0,2024,Opening Round
133,134,Liam Baker,FWD,46,10,0,16,2,0,2,8,8,0,2024,Opening Round
134,134,Tom McCartin,KEYD,46,6.5,0,9,7,0,0,7,2,0,2024,Opening Round
135,136,Jack Carroll,MID,45,12.4,1,10,1,2,4,7,3,0,2024,Opening Round
136,136,Caleb Windsor,MID,45,7.3,0,13,0,4,1,6,7,0,2024,Opening Round
137,136,Jacob van Rooyen,KEYF,45,2.3,1,10,2,3,0,3,7,0,2024,Opening Round
138,139,Toby Bedford,FWD,44,7.5,0,11,1,3,1,5,6,0,2024,Opening Round
139,139,Kade Chandler,FWD,44,5,0,11,2,3,0,4,7,0,2024,Opening Round
140,139,Kamdyn McIntosh,MID,44,5.3,0,15,4,0,1,8,7,0,2024,Opening Round
141,139,Darcy Moore,KEYD,44,9.9,0,9,4,2,0,6,3,0,2024,Opening Round
142,143,Oleg Markov,DEF,43,10.9,0,16,2,0,2,5,11,0,2024,Opening Round
143,143,Jacob Wehr,MID,43,5.7,0,11,2,2,3,6,5,0,2024,Opening Round
144,145,Thomas Berry,FWD,41,6.7,0,6,3,3,0,6,0,0,2024,Opening Round
145,146,Toby Greene,FWD,40,12.7,1,15,3,0,0,9,6,0,2024,Opening Round
146,146,Hayden McLean,KEYF,40,3,2,5,2,2,0,4,1,10,2024,Opening Round
147,148,Jaspa Fletcher,MID,39,2.9,0,10,5,1,0,3,7,0,2024,Opening Round
148,148,Josh Gibcus,KEYD,39,15.1,0,9,2,2,0,6,3,0,2024,Opening Round
149,150,Logan McDonald,KEYF,37,4.9,1,8,3,1,0,5,3,0,2024,Opening Round
150,151,Charlie Dean,KEYD,36,7.4,0,9,3,1,0,4,5,0,2024,Opening Round
151,151,Darcy Gardiner,KEYF,36,6.7,0,11,2,2,0,3,8,0,2024,Opening Round
152,151,Charlie Spargo,FWD,36,2.5,0,12,1,2,0,5,7,0,2024,Opening Round
153,154,Jack Buckley,KEYD,35,7.6,0,8,3,1,0,5,3,0,2024,Opening Round
154,155,Levi Casboult,KEYF,34,5.1,0,9,2,2,0,5,4,3,2024,Opening Round
155,155,Keidean Coleman,DEF,34,8.5,0,8,4,0,0,6,2,0,2024,Opening Round
156,155,Dylan Grimes,DEF,34,2.7,0,8,5,0,0,6,2,0,2024,Opening Round
157,155,Tom Mitchell,MID,34,10.3,1,9,0,2,2,2,7,0,2024,Opening Round
158,155,Matthew Owies,FWD,34,5.5,0,8,2,1,0,6,2,0,2024,Opening Round
159,160,Orazio Fantasia,FWD,33,4.6,0,11,1,1,0,4,7,0,2024,Opening Round
160,161,John Noble,DEF,32,4,0,8,1,3,0,4,4,0,2024,Opening Round
161,162,Mason Cox,RUC,31,6.6,0,5,1,0,0,2,3,19,2024,Opening Round
162,162,Jack Ross,MID,31,7.2,0,10,2,0,0,5,5,0,2024,Opening Round
163,164,Jacob Koschitzke,KEYF,30,-1.2,0,4,2,3,0,3,1,1,2024,Opening Round
164,164,Maurice Rioli,FWD,30,6.1,0,7,1,2,0,3,4,0,2024,Opening Round
165,166,Josh Schache,KEYF,29,2.7,0,4,2,2,0,3,1,1,2024,Opening Round
166,167,Kai Lohmann,FWD,28,1.9,0,6,4,0,0,4,2,0,2024,Opening Round
167,168,Bailey Laurie,FWD,26,-0.1,0,8,1,1,0,3,5,0,2024,Opening Round
168,168,Brandon Starcevich,DEF,26,4.4,0,8,1,0,1,7,1,0,2024,Opening Round
169,168,Bodhi Uwland,DEF,26,6.9,0,8,3,0,0,4,4,0,2024,Opening Round
170,171,Thomson Dow,MID,25,3.6,0,6,1,3,2,1,5,0,2024,Opening Round
171,171,Sam Wicks,FWD,25,8.8,1,5,2,1,1,2,3,0,2024,Opening Round
172,173,Joel Amartey,KEYF,23,-2.1,0,3,1,2,0,3,0,2,2024,Opening Round
173,174,Bailey Humphrey,FWD,21,2.4,0,9,2,2,0,1,8,0,2024,Opening Round
174,174,Tylar Young,KEYD,21,2,0,6,2,1,0,5,1,0,2024,Opening Round
175,176,Lewis Melican,KEYD,20,6.6,0,5,2,0,0,4,1,0,2024,Opening Round
176,177,Callan Ward,MID,19,4.5,0,8,0,1,3,2,6,0,2024,Opening Round
177,178,Jack Payne,KEYD,18,1.3,0,5,2,1,0,4,1,0,2024,Opening Round
178,178,Harvey Thomas,FWD,18,7.6,0,9,0,0,0,3,6,0,2024,Opening Round
179,180,Samson Ryan,RUC,12,1.6,0,2,0,1,0,1,1,6,2024,Opening Round
180,181,Ash Johnson,KEYF,11,-1.4,0,2,1,1,0,2,0,0,2024,Opening Round
181,182,Jack Billings,FWD,10,1.2,0,2,0,2,0,1,1,0,2024,Opening Round
182,183,Jake Riccardi,KEYF,9,1.5,0,4,1,0,1,1,3,3,2024,Opening Round
183,184,Darcy Macpherson,MID,8,2.7,0,2,0,1,0,0,2,0,2024,Opening Round
